customer_id,x_km,y_km,demand
C001,-2.173982,-0.324073,1.538
C002,-2.137352,1.653937,1.687
C003,-1.581123,3.820259,2.069
C004,-1.531889,-0.878525,1.589
C005,1.291267,-3.718007,2.110
C006,1.839709,-2.976743,1.927
C007,1.934598,-3.225109,1.270
C008,0.384187,3.713243,2.184
C009,3.762290,0.392909,2.059
C010,3.041893,0.255199,2.111
C011,-0.343434,0.069078,2.186
C012,0.660608,-3.122037,1.381
C013,2.402169,-0.241394,1.802
C014,-2.218624,2.955383,2.157
C015,-2.112732,-3.169869,1.214
C016,-1.701327,0.912543,1.383
